movie_name,date,regions,types,actors,actor_count,score,vote_count
钢琴家,2002-05-24,英国|法国|波兰|德国|美国,剧情|传记|战争|音乐,阿德里安·布罗迪|托马斯·克莱舒曼|艾米莉娅·福克斯|米哈乌·热布罗夫斯基|埃德·斯托帕德|穆琳·利普曼|弗兰克·芬莱|茱莉亚·蕾娜|杰西卡·凯特·梅耶尔|理查德·赖丁斯|齐伯尼·查马修瓦斯基|安德鲁·蒂曼|丹尼尔·卡尔塔吉罗内|约翰·基奥|露丝·普拉特|雅努什·奥莱伊尼恰克|帕维尔·布尔奇克|索菲娅·切尔文斯卡|Emilio Fernandez,19,9.3,692542
海蒂和爷爷,2019-05-16,德国|瑞士,剧情|冒险|家庭,阿努克·斯特芬|布鲁诺·冈茨|昆林·艾格匹|安娜·申茨|伊莎贝尔·奥特曼|莉莲·奈福|彼得·杰克林|克里斯托夫·高格勒|丽贝卡·因德穆|莫妮卡·古布瑟|阿瑟·比勒|玛丽埃塔·耶米|彼得·洛迈尔|卡塔琳娜·舒特勒|杰拉·哈斯|迈克尔·克兰茨|劳拉·帕克|马库斯·赫林|马克西姆·梅米特|汉娜洛蕾·赫格,20,9.3,691183
教父2,1974-12-12,美国,剧情|犯罪,阿尔·帕西诺|罗伯特·杜瓦尔|黛安·基顿|罗伯特·德尼罗|约翰·凯泽尔|塔莉娅·夏尔|李·斯特拉斯伯格|迈克尔·V·格佐|G•D•斯普拉德林|理查德·布赖特|加斯通·莫辛|汤姆·罗斯奎|布鲁诺·柯比|弗兰克·西维罗|弗朗西丝卡·德·萨维奥|摩甘娜金|玛丽亚娜·希尔|莱奥波多·特里耶斯泰|多米尼克·查尼斯|Amerigo Tot|特洛伊·多纳休|约翰·阿普雷亚|乔·斯皮内尔|阿贝·维高达|吉亚尼·罗素|Maria Carta|菲伊·斯潘|哈利·戴恩·斯坦通|卡明·卡里迪|丹尼·爱罗|威廉·鲍尔斯|约瑟夫·德拉·索尔特|卡门·阿尔根齐亚诺|乔·罗·格里普|Ezio Flagello|凯瑟琳·贝勒|Saveria Mazzola|Tito Alba|彼得·多纳特|汤姆·达尔格伦|Phil Feldman|罗杰·科曼|伊凡·科尔|艾丽卡·约恩|Teresa Tirelli|詹姆斯·肯恩|Italia Coppola|罗曼·科波拉|索菲亚·科波拉|朱莉·格雷格|George Holmes|Buck Houghton|Shep Houghton|小杉正一|加里·库尔茨|Laura Lyons|理查德·麦瑟森|约翰·梅根纳|Harrison Ressler|Al Roberts|Hank Robinson|Filomena Spagnuolo|朱利安·沃洛辛|朱塞佩·西拉托,64,9.3,591951
三傻大闹宝莱坞,2011-12-08,印度,剧情|喜剧|爱情|歌舞,阿米尔·汗|卡琳娜·卡普尔|马达范|沙尔曼·乔希|奥米·瓦依达|博曼·伊拉尼|莫娜·辛格|拉杰夫·拉宾德拉纳特安|Atul Tiwari|阿里·法扎勒|帕里卡沙特.萨赫尼|Rakesh Sharma|贾维德·杰弗里,13,9.2,1956276
当幸福来敲门,2008-01-17,美国,剧情|传记|家庭,威尔·史密斯|贾登·史密斯|坦迪·牛顿|布莱恩·豪威 |詹姆斯·凯伦|丹·卡斯泰兰尼塔|柯特·富勒|塔卡尤·费舍尔|凯文·韦斯特|乔治·张|戴维·迈克尔·西尔弗曼|多米尼克·博夫|杰弗·卡伦|乔伊芙·拉文|斯科特·克拉斯|希瑟·坎特|彼得·菲茨西蒙斯|约翰·帕特里克·舒拉克|大卫·皮尔|伊斯特·斯高特|罗明|亚当·王|拉希达·克伦迪宁|扎克·布拉夫|大卫·芬恩|莫莉·塞拉斯基|加瑞特·法贝斯|克里斯·加德纳|马克·克里斯托弗·劳伦斯|乔治·马奎尔|扎卡里·卡伯森|戴维·阿伦·霍奇斯|亚历山大·库科尔|多恩·安德鲁·西蒙斯|阿米尔·塔莱|塞雷娜·锡德|凯文·克鲁克|詹姆斯·科纳|亚当·德尔·里奥|里克·坎普|威廉·保罗·史密斯|塞西尔·威廉斯|维克托·莱德·维斯勒|艾丽莎·安德瑞格,44,9.2,1597919
饮食男女,1994-05-13,中国台湾|美国,剧情|家庭,郎雄|杨贵媚|吴倩莲|王渝文|张艾嘉|归亚蕾|赵文瑄|陈昭荣|陈捷文|卢金城|唐语谦|洪其德|王瑞|杜满生|王玨|陈妤|左正芬|许敬民|聂卓晶|丁仲,20,9.2,665435
蝙蝠侠：黑暗骑士,2008-07-14,美国|英国,剧情|动作|科幻|犯罪|惊悚,克里斯蒂安·贝尔|希斯·莱杰|艾伦·艾克哈特|迈克尔·凯恩|玛吉·吉伦哈尔|加里·奥德曼|摩根·弗里曼|莫尼克·加布里埃拉·库尔内|罗恩·迪恩|基里安·墨菲|黄经汉|内斯特·卡博内尔|埃里克·罗伯茨|里特奇·科斯特|安东尼·迈克尔·豪尔|基斯·斯扎拉巴基克|柯林·麦克法兰|约书亚·哈尔托|美琳达·麦格劳|内森·甘宝|迈克尔·维约|迈克尔·斯托扬诺夫|威廉·斯米利|丹尼·高德林|迈克尔·加·怀特|马修·奥尼尔|威廉·菲克纳|欧鲁米基·欧拉乌米|格雷格·比姆|爱利克·赫尔曼|毕崔斯·罗森|文森佐·尼克力|陈冠希|玛丽扎·卡布蕾拉|蒂娜·西蒙斯|罗南·萨莫尔斯|利萨·麦克阿里斯特|大卫·达斯马齐连|理查德·迪兰|亚当·卡莱佩里斯,40,9.2,1124495
摩登时代,1936-02-25,美国,剧情|喜剧|爱情,查理·卓别林|宝莲·高黛|亨利·伯格曼|蒂尼·桑福德|切斯特·康克林|汉克·曼|斯坦利·布莱斯通|阿尔·欧内斯特·加西亚|理查德·亚历山大|塞西尔·雷诺兹|米拉·麦金尼|默多克·麦夸里|威尔弗雷德·卢卡斯|爱德华·勒桑|弗雷德·马拉泰斯塔|萨米·斯坦|特德·奥利弗|诺曼·安斯利|博比·巴伯|海尼·康克林|格洛丽亚·德黑文|帕特·弗莱厄蒂|弗兰克·哈格尼|帕特·哈蒙|劳埃德·英格拉哈姆|沃尔特·詹姆斯|爱德华·金博尔|杰克·洛|巴迪·梅辛杰|布鲁斯·米切尔|弗兰克·莫兰|詹姆斯·C·莫顿|路易·纳托|J·C·纽金特|拉斯·鲍威尔|约翰兰德|哈里·威尔逊,37,9.3,322808
指环王2：双塔奇兵,2003-04-25,美国|新西兰,剧情|动作|奇幻|冒险,伊利亚·伍德|西恩·奥斯汀|多米尼克·莫纳汉|奥兰多·布鲁姆|维果·莫腾森|伊恩·麦克莱恩|凯特·布兰切特|比利·博伊德|杰德·布罗菲|丽芙·泰勒|安迪·瑟金斯|米兰达·奥图|雨果·维文|布拉德·道里夫|卡卢姆·吉廷斯|伯纳德·希尔|布鲁斯·霍普金斯|克里斯托弗·李|纳撒尼尔·利斯|罗宾·马尔科姆|约翰·贝西|萨拉·贝克|克雷格·帕克|布鲁斯·菲利普斯|Robert Pollock|约翰·瑞斯-戴维斯|奥利维亚·田內|卡尔·厄本|史蒂芬·乌瑞|大卫·文翰|菲利普·格里夫|肖恩·宾|约翰·诺贝尔|Jarl Benzon|Jørn Benzon|Ben Britton|阿利斯泰尔·布朗宁|Sean Button|Robert Catto|罗德尼·库克|卡尔洛斯·德林克沃特|西奥沙福瓦|本·弗兰舍姆|Jonathan Harding|Lucas Hayward|丹·汉纳|保罗·霍姆斯|杰森霍德|彼得·杰克逊|Sam Kelly|Sandro Kopp|姜广涛|张磊|陆建艺|金永钢|劳伦斯·马克奥雷|布鲁克·奥佩斯|努罗阿·波阿|丹尼尔·安德鲁斯|周志强,60,9.2,801533
死亡诗社,1989-06-02,美国,剧情,罗宾·威廉姆斯|罗伯特·肖恩·莱纳德|伊桑·霍克|乔西·查尔斯|盖尔·汉森|迪伦·库斯曼|阿勒隆·鲁杰罗|詹姆斯·沃特斯顿|诺曼·劳埃德|柯特伍德·史密斯|卡拉·贝尔韦尔|利昂·波纳尔|乔治·马丁|乔·奥菲耶里|马特·凯里|凯文·库尼|拉腊·弗林·鲍尔|亚历桑德拉·鲍尔斯|梅洛拉·沃尔特斯|帕梅拉·伯勒尔|约翰·库宁汉姆|迪布拉·穆尼|库尔特·莱特纳|凯瑟·斯内德|霍纳斯·斯蒂克洛瑞斯|杰米·肯尼迪,26,9.2,795248
